Cvarians9779	K13953
Cvarians16284	K02941
Cvarians152068	K05665
Cvarians493771	K03242
Cvarians14620	K09506
Cvarians94670	K02872
Cvarians465187	K11578
Cvarians90233	K11842
Cvarians52401	K04615
Cvarians7699	K23820
Cvarians474700	K19367
Cvarians92822	K22755
Cvarians62568	K11136
Cvarians107716	K10456
Cvarians2064	K05110
Cvarians59957	K11795
Cvarians107853	K15279
Cvarians6893	K10400
Cvarians34546	K21752
Cvarians9244	K01342
Cvarians26130	K02288
Cvarians225363	K10865
Cvarians459317	K04567
Cvarians26317	K14510
Cvarians351938	K25004
Cvarians54651	K16608
Cvarians115438	K14655
Cvarians319546	K03062
Cvarians12745	K16197
Cvarians104167	K12800
Cvarians83253	K11373
Cvarians109639	K08054
Cvarians340178	K12391
Cvarians48131	K07375
Cvarians116481	K12076
Cvarians158310	K11124
Cvarians61134	K02925
Cvarians89223	K02989
Cvarians93916	K01074
Cvarians115097	K23605
Cvarians146317	K09495
Cvarians591	K18674
Cvarians8992	K11420
Cvarians9736	K08738
Cvarians408916	K11251
Cvarians154825	K06271
Cvarians45683	K03061
Cvarians27152	K19636
Cvarians40919	K12856
Cvarians74732	K07897
Cvarians103581	K12855
Cvarians376974	K12350
Cvarians41366	K08874
Cvarians343293	K09490
Cvarians6675	K12878
Cvarians76797	K06174
Cvarians18185	K07497
Cvarians44284	K03768
Cvarians47992	K00830
Cvarians145841	K19626
Cvarians128604	K02146
Cvarians8557	K05677
Cvarians220804	K11826
Cvarians165616	K24469
Cvarians21926	K00966
Cvarians135724	K08765
Cvarians10275	K01803
Cvarians15565	K09260
Cvarians42393	K00940
Cvarians95754	K01206
Cvarians6441	K11274
Cvarians227100	K11352
Cvarians28143	K06766
Cvarians228712	K17255
Cvarians7204	K13047
Cvarians423995	K15119
Cvarians500286	K05754
Cvarians65920	K12602
Cvarians7333	K07877
Cvarians328170	K12616
Cvarians83041	K06269
Cvarians110822	K08798
Cvarians21185	K17766
Cvarians492124	K00294
Cvarians95128	K15104
Cvarians120693	K00457
Cvarians365799	K17732
Cvarians27924	K24640
Cvarians3508	K16910
Cvarians291273	K01892
Cvarians19833	K00858
Cvarians301686	K07817
Cvarians59662	K00522
Cvarians32035	K13023
Cvarians18956	K05765
Cvarians22395	K00604
Cvarians14388	K10951
Cvarians146944	K10380
Cvarians45453	K05681
Cvarians42563	K00121
Cvarians4179	K14823
Cvarians9453	K24804
Cvarians9845	K11855
Cvarians7066	K23340
Cvarians36605	K15111
Cvarians73771	K18163
Cvarians41757	K03263
Cvarians253541	K09503
Cvarians60162	K02729
Cvarians7856	K09608
Cvarians35884	K19559
Cvarians4952	K13142
Cvarians352003	K10080
Cvarians3644	K14959
Cvarians132058	K12231
Cvarians124610	K04615
Cvarians121567	K14753
Cvarians433894	K07753
Cvarians166163	K19511
Cvarians25543	K04371
Cvarians474498	K10592
Cvarians23351	K04362
Cvarians399576	K01883
Cvarians477051	K10579
Cvarians474349	K03595
Cvarians12195	K16910
Cvarians59087	K07374
Cvarians86391	K12854
Cvarians7121	K15332
Cvarians6947	K12197
Cvarians357700	K20298
Cvarians119368	K15504
Cvarians500062	K00819
Cvarians302338	K02437
Cvarians162629	K17255
Cvarians58557	K10735
Cvarians2440	K15042
Cvarians167915	K12598
Cvarians152527	K02997
Cvarians150776	K03037
Cvarians4138	K09849
Cvarians288772	K03018
Cvarians192392	K10380
Cvarians191874	K25442
Cvarians11070	K00734
Cvarians5111	K12598
Cvarians17467	K00522
Cvarians123357	K04417
Cvarians3178	K02894
Cvarians32611	K02921
Cvarians5634	K11433
Cvarians60662	K06839
Cvarians18300	K16353
Cvarians289951	K08869
Cvarians47497	K10891
Cvarians5271	K18086
Cvarians14223	K04508
Cvarians71194	K06698
Cvarians80221	K11724
Cvarians55398	K00939
Cvarians11848	K04536
Cvarians59771	K12855
Cvarians164080	K07901
Cvarians165831	K00253
Cvarians77857	K00382
Cvarians62366	K23424
Cvarians2189	K19330
Cvarians269393	K16290
Cvarians7286	K11843
Cvarians49836	K09486
Cvarians293716	K09422
Cvarians81519	K02889
Cvarians24036	K06665
Cvarians344491	K11125
Cvarians38411	K04565
Cvarians8288	K12849
Cvarians173362	K00789
Cvarians43347	K09553
Cvarians42296	K05695
Cvarians307287	K02951
Cvarians53834	K01897
Cvarians82947	K06269
Cvarians184834	K05676
Cvarians121574	K18032
Cvarians354057	K14802
Cvarians168605	K24810
Cvarians125594	K13886
Cvarians94663	K12035
Cvarians18122	K10588
Cvarians486598	K07817
Cvarians469243	K13566
Cvarians18769	K02980
Cvarians67869	K09848
Cvarians15248	K10277
Cvarians471867	K10843
Cvarians91297	K08835
Cvarians135342	K20349
Cvarians244235	K12896
Cvarians11085	K01205
Cvarians285218	K10594
Cvarians21004	K14760
Cvarians159794	K04646
Cvarians68677	K03654
Cvarians30999	K08874
Cvarians17568	K21919
Cvarians87289	K23380
Cvarians2088	K00059
Cvarians5665	K14416
Cvarians91695	K17592
Cvarians23398	K16459
Cvarians8986	K20632
Cvarians340567	K11188
Cvarians68245	K15730
Cvarians232633	K00799
Cvarians8593	K18588
Cvarians229624	K17086
Cvarians50560	K16726
Cvarians180645	K01681
Cvarians359968	K11188
Cvarians302972	K00031
Cvarians93653	K02835
Cvarians422355	K05750
Cvarians32098	K16803
Cvarians287274	K24469
Cvarians50828	K14454
Cvarians88865	K23344
Cvarians189394	K07497
Cvarians24934	K20295
Cvarians59464	K14802
Cvarians105546	K04688
Cvarians35616	K09560
Cvarians90614	K02870
Cvarians10878	K24510
Cvarians54560	K14685
Cvarians6238	K00569
Cvarians118208	K02145
Cvarians79839	K10739
Cvarians71359	K11293
Cvarians22650	K16755
Cvarians286457	K02519
Cvarians1339	K14621
Cvarians434101	K03232
Cvarians295313	K17260
Cvarians12767	K13912
Cvarians412983	K08585
Cvarians36304	K24069
Cvarians41669	K13212
Cvarians82945	K12613
Cvarians13073	K12351
Cvarians62343	K10446
Cvarians494740	K14574
Cvarians286223	K17080
Cvarians27761	K03131
Cvarians1526	K20825
Cvarians469755	K12190
Cvarians242297	K12858
Cvarians10115	K17732
Cvarians7820	K01132
Cvarians435887	K15717
Cvarians5524	K17592
Cvarians131010	K20028
Cvarians62219	K03008
Cvarians58431	K12132
Cvarians402739	K05768
Cvarians118776	K08960
Cvarians21874	K03654
Cvarians245875	K01681
Cvarians222082	K06685
Cvarians64843	K18655
Cvarians8927	K01555
Cvarians416116	K03254
Cvarians23523	K10772
Cvarians105715	K17491
Cvarians479406	K12823
Cvarians464243	K06699
Cvarians418743	K01938
Cvarians3383	K17341
Cvarians178535	K12751
Cvarians154792	K10649
Cvarians415228	K00002
Cvarians9602	K17495
Cvarians496356	K12180
Cvarians2793	K12867
Cvarians357537	K00507
Cvarians80231	K13275
Cvarians87484	K03250
Cvarians24315	K22723
Cvarians312678	K02951
Cvarians124454	K15503
Cvarians91900	K15108
Cvarians66591	K12898
Cvarians320765	K20715
Cvarians34239	K16855
Cvarians367506	K08515
Cvarians408184	K24642
Cvarians407489	K14802
Cvarians481064	K08011
Cvarians280725	K15322
Cvarians57934	K14402
Cvarians267810	K12382
Cvarians428705	K06943
Cvarians116371	K24047
Cvarians248071	K17732
Cvarians143591	K01874
Cvarians16177	K08867
Cvarians105732	K06944
Cvarians138755	K10589
Cvarians296060	K13201
Cvarians2253	K25165
Cvarians59825	K09849
Cvarians65988	K19511
Cvarians73418	K03006
Cvarians29333	K09624
Cvarians230025	K11314
Cvarians97522	K03234
Cvarians779	K02835
Cvarians83093	K12891
Cvarians130924	K00555
Cvarians21989	K04498
Cvarians30814	K09850
Cvarians74557	K23624
Cvarians231397	K01866
Cvarians229741	K13177
Cvarians229139	K03704
Cvarians85543	K15202
Cvarians2469	K20465
Cvarians27792	K18438
Cvarians229402	K09486
Cvarians94016	K22073
Cvarians181791	K12824
Cvarians373855	K03768
Cvarians293952	K23490
Cvarians1700	K03255
Cvarians475844	K09567
Cvarians340848	K08960
Cvarians243092	K02732
Cvarians108923	K11592
Cvarians246194	K01074
Cvarians51520	K04630
Cvarians103444	K08874
Cvarians361637	K14809
Cvarians5270	K12035
Cvarians36666	K13519
Cvarians302879	K04536
Cvarians405311	K23209
Cvarians45342	K03029
Cvarians873	K00615
Cvarians10710	K08439
Cvarians301520	K05677
Cvarians153573	K03243
Cvarians13141	K00742
Cvarians30081	K19026
Cvarians264713	K12482
Cvarians82477	K11086
Cvarians296967	K02127
Cvarians408597	K24512
Cvarians221780	K01285
Cvarians101340	K07422
Cvarians193828	K08848
Cvarians5799	K14011
Cvarians42068	K10645
Cvarians460233	K00025
Cvarians341129	K21444
Cvarians492159	K07918
Cvarians7308	K07832
Cvarians2596	K20307
Cvarians33169	K02154
Cvarians79482	K01937
Cvarians39943	K03283
Cvarians45757	K08892
Cvarians111066	K04079
Cvarians404096	K01478
Cvarians106089	K17732
Cvarians451974	K02877
Cvarians287017	K19904
Cvarians234382	K01738
Cvarians194934	K08867
Cvarians72704	K02964
Cvarians18586	K06114
Cvarians47421	K14301
Cvarians288910	K02370
Cvarians466616	K14563
Cvarians82383	K14327
Cvarians129950	K08798
Cvarians342367	K10661
Cvarians46337	K14536
Cvarians184962	K05863
Cvarians67753	K01893
Cvarians189293	K03555
Cvarians19089	K20823
Cvarians316251	K11593
Cvarians469424	K10457
Cvarians12545	K04984
Cvarians474863	K12830
Cvarians472440	K12805
Cvarians98569	K02941
Cvarians256160	K02995
Cvarians87060	K09613
Cvarians475047	K02320
Cvarians28674	K11367
Cvarians45739	K00615
Cvarians26738	K01279
Cvarians22447	K11252
Cvarians116509	K00522
Cvarians12322	K12819
Cvarians140811	K08056
Cvarians221482	K13917
Cvarians83138	K07573
Cvarians226133	K09848
Cvarians344449	K03362
Cvarians228110	K20289
Cvarians163817	K07203
Cvarians60597	K24971
Cvarians18800	K15731
Cvarians86831	K06665
Cvarians62364	K02896
Cvarians35771	K22754
Cvarians15636	K01116
Cvarians46769	K13100
Cvarians281236	K09529
Cvarians156349	K01187
Cvarians3285	K11600
Cvarians32486	K13121
Cvarians53099	K16465
Cvarians29704	K10755
Cvarians399409	K01482
Cvarians14143	K01714
Cvarians430235	K01142
Cvarians374479	K12580
Cvarians41450	K07497
Cvarians230126	K18644
Cvarians429203	K12311
Cvarians5822	K13211
Cvarians22390	K10738
Cvarians285188	K03237
Cvarians346801	K16629
Cvarians1868	K01870
Cvarians1872	K11419
Cvarians354014	K02875
Cvarians8533	K24970
Cvarians144356	K14454
Cvarians293948	K14018
Cvarians52191	K03283
Cvarians282472	K15555
Cvarians101380	K00544
Cvarians302220	K03243
Cvarians3009	K01228
Cvarians124471	K01065
Cvarians582	K06062
Cvarians56823	K11254
Cvarians119841	K10389
Cvarians110759	K12386
Cvarians119452	K01738
Cvarians182132	K11654
Cvarians58666	K01889
Cvarians5790	K19721
Cvarians32609	K15013
Cvarians24062	K10104
Cvarians34878	K17080
Cvarians413727	K19882
Cvarians94667	K22138
Cvarians429065	K21437
Cvarians53919	K18890
Cvarians52074	K07897
Cvarians9733	K05125
Cvarians18275	K05658
Cvarians285153	K14437
Cvarians115373	K19801
Cvarians48241	K08193
Cvarians422330	K06584
Cvarians137613	K05863
Cvarians96316	K01069
Cvarians2142	K15362
Cvarians89770	K02320
Cvarians429775	K00627
Cvarians4743	K12619
Cvarians70091	K03833
Cvarians239347	K24983
Cvarians26490	K24387
Cvarians2167	K09624
Cvarians431463	K06937
Cvarians27132	K00463
Cvarians143989	K00331
Cvarians131342	K12604
Cvarians90933	K17495
Cvarians13544	K05681
Cvarians180901	K03768
Cvarians81861	K00503
Cvarians153873	K02202
Cvarians133702	K10104
Cvarians109727	K09494
Cvarians84380	K17285
Cvarians108056	K24399
Cvarians135871	K22470
Cvarians74984	K05668
Cvarians124322	K14947
Cvarians19312	K24222
Cvarians50357	K06252
Cvarians400829	K14795
Cvarians222132	K10203
Cvarians32614	K10380
Cvarians27542	K06199
Cvarians8895	K00294
Cvarians91157	K10457
Cvarians172903	K09497
Cvarians23898	K21121
Cvarians5194	K00432
Cvarians43378	K11131
Cvarians154503	K13181
Cvarians87966	K05126
Cvarians6881	K15078
Cvarians72038	K06252
Cvarians99251	K13210
Cvarians482386	K20295
Cvarians131213	K02955
Cvarians315937	K10529
Cvarians133119	K17495
Cvarians3052	K09562
Cvarians10569	K00627
Cvarians105688	K12828
Cvarians79743	K01469
Cvarians22393	K05665
Cvarians164828	K17632
Cvarians345748	K03509
Cvarians152242	K10393
Cvarians228649	K01279
Cvarians468034	K23026
Cvarians6859	K11128
Cvarians78409	K02973
Cvarians16789	K02154
Cvarians39402	K10666
Cvarians289040	K17086
Cvarians125173	K10352
Cvarians166325	K11655
Cvarians25741	K24469
Cvarians343401	K00326
Cvarians3302	K05760
Cvarians206484	K17095
Cvarians16268	K12587
Cvarians225626	K03671
Cvarians14785	K02365
Cvarians297631	K15281
Cvarians13247	K08816
Cvarians32180	K11647
Cvarians56470	K10956
Cvarians54751	K09553
Cvarians350869	K02738
Cvarians41316	K10380
Cvarians12013	K04606
Cvarians371271	K12461
Cvarians27732	K00861
Cvarians10806	K14571
Cvarians302143	K04082
Cvarians8710	K15256
Cvarians3427	K10104
Cvarians471648	K13126
Cvarians61057	K08568
Cvarians9724	K20349
Cvarians18096	K20295
Cvarians4270	K14077
Cvarians150007	K11253
Cvarians362427	K24470
Cvarians41797	K02943
Cvarians118285	K11823
Cvarians13126	K15178
Cvarians122235	K00261
Cvarians354600	K14404
Cvarians39206	K04615
Cvarians60000	K20222
Cvarians475416	K17263
Cvarians44109	K11095
Cvarians87600	K15175
Cvarians79257	K07200
Cvarians26797	K11153
Cvarians89861	K08036
Cvarians8182	K11996
Cvarians173861	K14816
Cvarians11913	K11842
Cvarians96236	K04646
Cvarians9021	K16547
Cvarians145065	K11584
Cvarians43747	K00134
Cvarians167153	K07376
Cvarians10689	K11251
Cvarians137009	K02872
Cvarians358536	K10844
Cvarians485651	K14326
Cvarians85674	K07955
Cvarians6510	K04416
Cvarians67882	K01874
Cvarians300530	K02542
Cvarians5828	K03257
Cvarians182598	K00382
Cvarians7451	K01875
Cvarians280654	K06944
Cvarians1163	K00382
Cvarians221068	K24392
Cvarians358613	K01586
Cvarians3072	K14850
Cvarians47677	K14397
Cvarians59152	K03515
Cvarians404778	K22068
Cvarians87387	K24674
Cvarians5498	K08455
Cvarians469889	K02213
Cvarians483626	K25381
Cvarians111760	K02154
Cvarians99755	K00135
Cvarians222665	K17301
Cvarians161733	K02977
Cvarians59820	K14808
Cvarians222186	K14402
Cvarians231502	K14845
Cvarians185374	K03133
Cvarians282333	K23662
Cvarians465283	K11647
Cvarians427855	K17255
Cvarians354032	K22410
Cvarians405755	K07208
Cvarians59380	K02437
Cvarians22385	K15192
Cvarians66760	K16264
Cvarians38510	K05659
Cvarians368563	K01679
Cvarians25301	K17086
Cvarians126289	K12818
Cvarians44142	K11254
Cvarians342805	K01893
Cvarians459179	K09223
Cvarians88978	K09580
Cvarians419346	K08341
Cvarians35100	K24760
Cvarians297255	K03495
Cvarians27940	K11426
Cvarians15689	K14561
Cvarians114524	K02949
Cvarians363443	K12881
Cvarians11316	K09848
Cvarians146656	K12856
Cvarians37175	K17286
Cvarians7579	K24963
Cvarians88437	K23879
Cvarians3530	K01280
Cvarians124049	K16669
Cvarians35010	K01374
Cvarians307810	K01338
Cvarians181293	K14857
Cvarians44902	K01893
Cvarians55978	K14789
Cvarians14804	K08635
Cvarians167608	K09486
Cvarians419282	K09528
Cvarians6521	K11348
Cvarians21570	K10380
Cvarians146427	K12947
Cvarians34362	K07497
Cvarians472220	K07747
Cvarians42683	K02998
Cvarians36521	K07178
Cvarians467249	K02183
Cvarians400675	K15719
Cvarians246233	K15335
Cvarians12913	K04513
Cvarians136922	K08790
Cvarians68555	K13704
Cvarians72990	K03469
Cvarians222000	K14407
Cvarians304743	K23222
Cvarians134290	K19367
Cvarians43647	K07955
Cvarians62815	K03076
Cvarians228268	K00382
Cvarians113230	K11654
Cvarians55129	K20301
Cvarians161320	K07565
Cvarians109616	K14563
Cvarians80617	K14015
Cvarians1019	K07874
Cvarians408120	K00002
Cvarians117440	K08796
Cvarians227669	K22410
Cvarians492321	K17732
Cvarians38817	K07442
Cvarians357228	K12604
Cvarians9379	K09228
Cvarians177313	K04646
Cvarians481906	K09113
Cvarians13739	K05110
Cvarians172803	K02877
Cvarians33893	K06096
Cvarians9992	K03252
Cvarians133980	K24816
Cvarians98278	K12818
Cvarians5891	K24062
Cvarians163564	K06694
Cvarians36873	K17339
Cvarians3953	K05695
Cvarians17334	K04424
Cvarians146523	K02471
Cvarians102504	K05641
Cvarians14717	K15013
Cvarians118367	K20217
Cvarians180616	K01634
Cvarians12245	K05283
Cvarians62400	K06494
Cvarians101902	K03115
Cvarians185401	K01883
Cvarians287042	K03233
Cvarians234585	K06756
Cvarians471117	K05858
Cvarians69772	K10415
Cvarians361893	K06838
Cvarians220497	K14354
Cvarians439156	K15377
Cvarians49068	K09584
Cvarians6943	K10422
Cvarians37574	K24420
Cvarians101968	K19870
Cvarians407024	K13168
Cvarians38009	K14799
Cvarians13108	K18405
Cvarians76757	K02962
Cvarians123926	K01869
Cvarians125266	K09458
Cvarians362211	K03252
Cvarians71616	K01810
Cvarians484743	K09583
Cvarians301912	K00011
Cvarians3615	K00387
Cvarians89773	K21424
Cvarians44189	K11997
Cvarians124320	K09667
Cvarians149366	K14753
Cvarians63791	K07497
Cvarians240588	K03031
Cvarians444899	K03252
Cvarians309736	K00326
Cvarians43791	K07870
Cvarians40544	K24047
Cvarians38368	K03113
Cvarians200715	K14950
Cvarians118296	K19530
Cvarians43608	K10448
Cvarians181785	K00721
Cvarians130872	K07901
Cvarians188989	K00297
Cvarians5471	K11831
Cvarians150530	K12830
Cvarians53874	K24675
Cvarians103190	K13912
Cvarians9746	K10699
Cvarians3972	K20221
Cvarians352706	K12837
Cvarians53112	K22544
Cvarians108130	K17410
Cvarians34689	K03236
Cvarians9919	K00500
Cvarians38840	K03242
Cvarians4626	K00923
Cvarians39998	K02955
Cvarians5213	K04683
Cvarians40996	K00006
Cvarians179996	K05917
Cvarians8465	K18083
Cvarians116091	K08964
Cvarians143066	K12836
Cvarians13800	K02940
Cvarians93932	K06777
Cvarians477468	K01623
Cvarians294938	K23583
Cvarians137399	K09493
Cvarians5580	K06672
Cvarians5275	K00826
Cvarians484663	K13720
Cvarians35487	K06888
Cvarians61425	K06070
Cvarians66933	K15192
Cvarians21878	K15281
Cvarians104902	K11647
Cvarians345433	K11096
Cvarians150402	K12385
Cvarians163567	K03033
Cvarians57480	K21343
Cvarians69642	K14290
Cvarians16027	K02332
Cvarians150537	K11724
Cvarians8549	K05220
Cvarians44795	K13415
Cvarians295319	K13249
Cvarians463239	K20456
Cvarians77903	K09522
Cvarians61046	K01640
Cvarians12987	K04592
Cvarians79544	K01674
Cvarians47468	K08635
Cvarians73665	K12132
Cvarians458576	K17805
Cvarians18366	K10380
Cvarians2224	K04354
Cvarians94175	K09026
Cvarians66427	K00797
Cvarians464472	K10380
Cvarians42644	K01255
Cvarians11742	K20406
Cvarians105208	K00767
Cvarians161168	K10597
Cvarians43756	K22371
Cvarians22214	K12567
Cvarians295985	K15029
Cvarians460568	K06585
Cvarians265452	K13126
Cvarians282893	K13566
Cvarians110616	K05015
Cvarians108400	K02078
Cvarians4084	K19467
Cvarians475969	K06100
Cvarians75218	K05662
Cvarians1977	K01756
Cvarians17112	K03175
Cvarians180784	K08076
Cvarians157812	K01895
Cvarians117219	K17086
Cvarians371485	K08635
Cvarians50755	K14555
Cvarians417988	K21456
Cvarians14719	K05681
Cvarians31481	K04361
Cvarians71264	K02983
Cvarians132020	K05699
Cvarians226016	K14191
Cvarians409372	K00025
Cvarians110266	K07298
Cvarians31894	K14769
Cvarians26424	K10380
Cvarians37029	K23210
Cvarians27525	K03686
Cvarians41440	K06693
Cvarians166774	K03781
Cvarians228066	K00413
Cvarians315287	K02952
Cvarians128212	K11416
Cvarians105969	K22382
Cvarians115355	K12857
Cvarians12747	K02874
Cvarians195522	K22182
Cvarians81656	K05126
Cvarians95061	K04646
Cvarians79715	K01363
Cvarians18661	K23901
Cvarians32979	K02434
Cvarians227267	K03006
Cvarians225938	K00021
Cvarians137889	K08056
Cvarians99322	K02964
Cvarians98325	K02870
Cvarians25354	K23308
Cvarians304565	K03348
Cvarians49891	K02973
Cvarians37266	K03456
Cvarians54799	K11273
Cvarians158829	K00121
Cvarians74441	K15108
Cvarians47573	K15281
Cvarians44113	K23334
Cvarians422990	K09539
Cvarians282852	K03937
Cvarians182851	K11836
Cvarians281565	K02211
Cvarians21234	K02898
Cvarians6369	K19267
Cvarians300735	K02988
Cvarians255941	K07756
Cvarians11067	K12035
Cvarians401267	K14327
Cvarians14048	K09203
Cvarians53443	K12856
Cvarians12533	K00809
Cvarians7567	K10264
Cvarians108290	K09221
Cvarians224596	K24970
Cvarians406955	K25421
Cvarians351446	K01784
Cvarians14603	K16726
Cvarians48689	K14537
Cvarians225	K10885
Cvarians117742	K12373
Cvarians75502	K11423
Cvarians473254	K14309
Cvarians13400	K00511
Cvarians241134	K12398
Cvarians13720	K22390
Cvarians39706	K04523
Cvarians22745	K05656
Cvarians54767	K03019
Cvarians145412	K00643
Cvarians290028	K14437
Cvarians11236	K13728
Cvarians14826	K16669
Cvarians227391	K01363
Cvarians125621	K19511
Cvarians357454	K11363
Cvarians417300	K03262
Cvarians5813	K02150
Cvarians164781	K13525
Cvarians224429	K02868
Cvarians60899	K02519
Cvarians152113	K02981
Cvarians13592	K00573
Cvarians75880	K06820
Cvarians10413	K03850
Cvarians171809	K10380
Cvarians309229	K01336
Cvarians232511	K16175
Cvarians46270	K15633
Cvarians63462	K17592
Cvarians481097	K00432
Cvarians107011	K07494
Cvarians54833	K22556
Cvarians14412	K05724
Cvarians54568	K06269
Cvarians58025	K09848
Cvarians29465	K00624
Cvarians185466	K22651
Cvarians125290	K15361
Cvarians369084	K08967
Cvarians673	K12800
Cvarians46804	K05681
Cvarians3627	K07897
Cvarians94723	K08683
Cvarians437510	K05665
Cvarians3470	K24729
Cvarians45375	K10865
Cvarians134872	K09485
Cvarians83611	K04409
Cvarians27998	K00261
Cvarians9422	K13346
Cvarians420164	K08597
Cvarians202632	K00600
Cvarians8570	K09569
Cvarians10542	K07497
Cvarians26044	K01099
Cvarians116693	K17301
Cvarians22260	K09624
Cvarians4405	K08853
Cvarians28564	K01336
Cvarians17403	K23820
Cvarians50689	K14793
Cvarians406734	K15731
Cvarians8194	K14964
Cvarians16932	K11269
Cvarians417	K01613
Cvarians8687	K12035
Cvarians34545	K08796
Cvarians70325	K03676
Cvarians2204	K19006
Cvarians2210	K13127
Cvarians57931	K12757
