Gerakladium39059	Component of the replication protein A complex (RPA) required for DNA recombination, repair and replication. The activity of RPA is mediated by single-stranded DNA binding and protein interactions. Probably involved in repair of double-strand DNA breaks (DSBs) induced by genotoxic stresses
Gerakladium58135	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins
Gerakladium157862	heat shock
Gerakladium111414	Zinc carboxypeptidase
Gerakladium188437	3-hydroxyisobutyryl-CoA hydrolase activity
Gerakladium153587	L-lactate permease
Gerakladium105161	DEAD-like helicases superfamily
Gerakladium69354	Belongs to the cysteine synthase cystathionine beta- synthase family
Gerakladium206811	Protease Do-like 9
Gerakladium17120	ribosomal protein
Gerakladium205141	xylan 1,4-beta-xylosidase activity
Gerakladium22183	alpha-galactosidase activity
Gerakladium71990	Specifically deglycosylates the denatured form of N- linked glycoproteins in the cytoplasm and assists their proteasome-mediated degradation. Cleaves the beta-aspartyl- glucosamine (GlcNAc) of the glycan and the amide side chain of Asn, converting Asn to Asp. Prefers proteins containing high- mannose over those bearing complex type oligosaccharides. Can recognize misfolded proteins in the endoplasmic reticulum that are exported to the cytosol to be destroyed and deglycosylate them, while it has no activity toward native proteins. Deglycosylation is a prerequisite for subsequent proteasome-mediated degradation of some, but not all, misfolded glycoproteins
Gerakladium192742	guanyl-nucleotide exchange factor activity
Gerakladium14723	Tubulin tyrosine ligase-like family, member 11
Gerakladium214894	protein maturation by iron-sulfur cluster transfer
Gerakladium205342	Beta-ketoacyl synthase
Gerakladium207960	isocitrate dehydrogenase (NADP+) activity
Gerakladium120974	EF-hand domain
Gerakladium7269	COG0477 Permeases of the major facilitator superfamily
Gerakladium111781	positive regulation of tubulin deacetylation
Gerakladium89699	Major facilitator Superfamily
Gerakladium114457	branched-chain-amino-acid transaminase activity
Gerakladium149057	Calcium-binding protein
Gerakladium152635	Lys63-specific deubiquitinase activity
Gerakladium107507	Malonyl-CoA-acyl carrier protein transacylase, mitochondrial
Gerakladium15896	protein transport
Gerakladium24044	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Gerakladium43122	pyruvate, phosphate dikinase activity
Gerakladium25595	protein serine/threonine phosphatase activity
Gerakladium10856	Haspin like kinase domain
Gerakladium185988	VPS10
Gerakladium209282	Catechol O-methyltransferase
Gerakladium70308	Glycoside hydrolase. Source PGD
Gerakladium111199	Chaperone protein DNAj
Gerakladium1488	Belongs to the protein kinase superfamily
Gerakladium1980	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family
Gerakladium52102	Thaumatin family
Gerakladium169396	Removes the formyl group from the N-terminal Met of newly synthesized proteins
Gerakladium41541	Citrate transporter
Gerakladium114605	molybdate ion transmembrane transporter activity
Gerakladium53368	Belongs to the nonaspanin (TM9SF) (TC 9.A.2) family
Gerakladium3085	General transcription factor IIH subunit
Gerakladium2636	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
Gerakladium52671	splicing factor
Gerakladium24185	Ribosomal protein S1
Gerakladium159791	Nitronate monooxygenase
Gerakladium64565	cysteine-type peptidase activity
Gerakladium29882	Domain of unknown function DUF21
Gerakladium148677	FKBP-type peptidyl-prolyl cis-trans isomerase
Gerakladium114809	Pentatricopeptide repeat
Gerakladium2266	Belongs to the peroxidase family
Gerakladium74903	2OG-Fe(II) oxygenase family protein
Gerakladium2676	Acyl transferase domain in polyketide synthase (PKS) enzymes.
Gerakladium6348	Acyl transferase domain in polyketide synthase (PKS) enzymes.
Gerakladium7086	Rab subfamily of small GTPases
Gerakladium11962	Peptidase family M1 domain
Gerakladium155741	posttranslational protein targeting to membrane, translocation
Gerakladium14485	Male sterility protein
Gerakladium207051	The RING-variant domain is a C4HC3 zinc-finger like motif found in a number of cellular and viral proteins. Some of these proteins have been shown both in vivo and in vitro to have ubiquitin E3 ligase activity.
Gerakladium219028	COG0604 NADPH quinone reductase and related Zn-dependent
Gerakladium42898	Iron-sulfur protein (IP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q)
Gerakladium168120	lipoprotein localization
Gerakladium205717	High affinity cGMP-specific 3',5'-cyclic phosphodiesterase
Gerakladium131127	Serine/Threonine protein kinases, catalytic domain
Gerakladium135919	Alpha beta hydrolase
Gerakladium4702	motif protein
Gerakladium191413	protein serine/threonine phosphatase activity
Gerakladium210752	Purple acid phosphatase
Gerakladium307	The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane
Gerakladium151134	Sigma factor PP2C-like phosphatases
Gerakladium58314	Molecular chaperone that promotes the maturation, structural maintenance and proper regulation of specific target proteins involved for instance in cell cycle control and signal transduction. Undergoes a functional cycle that is linked to its ATPase activity. This cycle probably induces conformational changes in the client proteins, thereby causing their activation. Interacts dynamically with various co-chaperones that modulate its substrate recognition, ATPase cycle and chaperone function (By similarity)
Gerakladium98180	TIGRFAM cysteine desulfurase family protein
Gerakladium168693	peptidylprolyl isomerase
Gerakladium149726	Protein tyrosine kinase
Gerakladium117321	Galactose oxidase kelch, beta-propeller (InterPro IPR011043), Kelch repeat type 1 (InterPro IPR006652), Kelch repeat type 2 (InterPro IPR011498), Kelch-type beta propeller (InterPro IPR015915)
Gerakladium105492	Mitochondrial carrier protein
Gerakladium150423	transferase activity, transferring hexosyl groups
Gerakladium209516	Peptide methionine sulfoxide reductase
Gerakladium216002	PHD finger-like domain-containing protein
Gerakladium9510	Porphobilinogen deaminase, dipyromethane cofactor binding domain
Gerakladium174083	Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate
Gerakladium122363	Peptidyl-prolyl cis-trans isomerase
Gerakladium115652	[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity
Gerakladium174438	finger protein
Gerakladium187280	Tyrosyl-DNA phosphodiesterase
Gerakladium109703	calcium-dependent cysteine-type endopeptidase activity
Gerakladium5245	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation
Gerakladium12238	Iron(III)-zinc(II) purple acid phosphatase. Source PGD
Gerakladium219136	SPTR Pathogenesis related protein-like protein
Gerakladium185205	Adenylyl- / guanylyl cyclase, catalytic domain
Gerakladium205314	reductase
Gerakladium18490	serine-type endopeptidase activity
Gerakladium149574	Peptidyl-prolyl cis-trans isomerase
Gerakladium169035	Ubiquitin fusion degradation
Gerakladium70598	symporter activity
Gerakladium169696	COG1760 L-serine deaminase
Gerakladium172575	A1 Propeptide
Gerakladium16155	divalent anion Na symporter
Gerakladium75888	PFAM alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen
Gerakladium152563	Phytanoyl-CoA dioxygenase (PhyH)
Gerakladium112892	EF-hand domain
Gerakladium150588	Peptidase, M28 family
Gerakladium6688	7-hydroxymethyl chlorophyll a reductase
Gerakladium18330	Mannosyltransferase
Gerakladium170368	Functions in the early steps of protein synthesis of a small number of specific mRNAs. Acts by directing the binding of methionyl-tRNAi to 40S ribosomal subunits. In contrast to the eIF- 2 complex, it binds methionyl-tRNAi to 40 S subunits in a codon- dependent manner, whereas the eIF-2 complex binds methionyl-tRNAi to 40 S subunits in a GTP-dependent manner. May act by impiging the expression of specific proteins
Gerakladium119228	Belongs to the syntaxin family
Gerakladium209670	-
Gerakladium186973	voltage-gated potassium channel activity
Gerakladium148845	Belongs to the peroxisomal membrane protein PXMP2 4 family
Gerakladium65594	Belongs to the actin family
Gerakladium172504	Calmodulin
Gerakladium14442	Belongs to the RuBisCO large chain family
Gerakladium112941	deSI-like protein At4g17486
Gerakladium172084	SET domain-containing protein
Gerakladium75129	PPPDE putative peptidase domain
Gerakladium9923	nucleic acid binding
Gerakladium64140	nicotinamide phosphoribosyltransferase activity
Gerakladium7455	Adenylate and Guanylate cyclase catalytic domain
Gerakladium216745	8-oxo-dGTP phosphohydrolase activity
Gerakladium16475	methyltransferase activity
Gerakladium206535	voltage-gated potassium channel activity
Gerakladium214795	It is involved in the biological process described with protein homooligomerization
Gerakladium187565	FAD binding domain
Gerakladium205201	Prolyl 4-hydroxylase alpha subunit homologues.
Gerakladium211823	-
Gerakladium207203	Belongs to the mitochondrial carrier (TC 2.A.29) family
Gerakladium741	acetyl-CoA carboxylase
Gerakladium133590	dioxygenase activity
Gerakladium207780	Zinc finger CCCH type domain
Gerakladium49725	Belongs to the eukaryotic ribosomal protein eS26 family
Gerakladium15690	Is probably a protein kinase regulator of UbiI activity which is involved in aerobic coenzyme Q (ubiquinone) biosynthesis
Gerakladium133683	Oligopeptide/dipeptide transporter, C-terminal region
Gerakladium133424	Ribosomal protein L35Ae
Gerakladium113313	low voltage-gated calcium channel activity
Gerakladium137792	EF-hand domain pair
Gerakladium11591	Thrombospondin type 1 repeats
Gerakladium151320	VDE lipocalin domain
Gerakladium209802	Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA
Gerakladium30439	Glutamine synthetase, catalytic domain
Gerakladium31682	Centrosomal protein
Gerakladium153119	Protein kinase domain
Gerakladium35164	antiporter activity
Gerakladium167921	Belongs to the ubiquitin-conjugating enzyme family
Gerakladium196525	isomerase activity
Gerakladium2582	Introduces a single-strand break via transesterification at a target site in duplex DNA. Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand
Gerakladium115685	phosphatase 2C
Gerakladium104904	CDPK-related kinase
Gerakladium90532	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
Gerakladium23477	Serine aminopeptidase, S33
Gerakladium170361	Transporter
Gerakladium168710	III protein, CoA-transferase family
Gerakladium221810	CRAL/TRIO domain
Gerakladium131921	belongs to the protein kinase superfamily
Gerakladium122763	Belongs to the protein kinase superfamily
Gerakladium217405	Nitrate reductase is a key enzyme involved in the first step of nitrate assimilation in plants, fungi and bacteria
Gerakladium49897	H -translocating
Gerakladium136228	THUMP domain containing 2
Gerakladium119285	Geranylgeranyl diphosphate reductase
Gerakladium209432	Oxidoreductase family, NAD-binding Rossmann fold
Gerakladium24592	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH
Gerakladium190982	chorismate mutase
Gerakladium208604	Belongs to the class-I aminoacyl-tRNA synthetase family
Gerakladium26111	Zinc finger, C3HC4 type (RING finger)
Gerakladium114313	Major facilitator superfamily
Gerakladium52311	methyltransferase activity
Gerakladium18313	spectrin binding
Gerakladium191787	Functions as an electron carrier between membrane-bound cytochrome b6-f and photosystem I in oxygenic photosynthesis
Gerakladium214690	peptidyl-serine phosphorylation
Gerakladium152088	Introduces a single-strand break via transesterification at a target site in duplex DNA. Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand
Gerakladium13441	5' nucleotidase family
Gerakladium186654	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Gerakladium31856	heat shock protein 70
Gerakladium223125	G-patch domain-containing protein
Gerakladium2039	Belongs to the helicase family. RecQ subfamily
Gerakladium6409	DnaJ molecular chaperone homology domain
Gerakladium24814	ATPase activity, coupled to transmembrane movement of substances
Gerakladium59700	peptide-methionine (R)-S-oxide reductase activity
Gerakladium150839	ICE family protease (Caspase) p20 domain-containing protein
Gerakladium167932	Belongs to the ClpA ClpB family
Gerakladium111820	cellulose 1,4-beta-cellobiosidase activity
Gerakladium151221	glucose import
Gerakladium39281	ammonium transmembrane transporter activity
Gerakladium54746	EF-hand domain
Gerakladium66502	Oxidative stress induced growth inhibitor family member 2
Gerakladium211797	Specifically methylates the guanine in position 2445 (m2G2445) and the guanine in position 2069 (m7G2069) of 23S rRNA
Gerakladium54815	tRNA synthetases class II core domain (F)
Gerakladium138202	Peroxidase
Gerakladium66854	isoform X1
Gerakladium36633	von Willebrand factor (vWF) type A domain
Gerakladium13135	Binds the poly(A) tail of mRNA
Gerakladium191196	Proton-conducting pore forming subunit of the membrane integral V0 complex of vacuolar ATPase. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells
Gerakladium140958	Belongs to the heat shock protein 70 family
Gerakladium9675	transporter
Gerakladium65320	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Gerakladium216825	Belongs to the pirin family
Gerakladium285	Kelch motif family protein. Source PGD
Gerakladium175832	Plays a fundamental role in microtubule organizing center structure and function. Component of the infraciliary lattice (ICL) and the ciliary basal bodies
Gerakladium43697	oxidoreductase At1g06690
Gerakladium180303	Mitogen-Activated Protein Kinase Kinase Kinase
Gerakladium195161	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Gerakladium22498	PFAM DNA photolyase FAD-binding
Gerakladium208855	surfactant homeostasis
Gerakladium47443	PFAM Isocitrate dehydrogenase NADP-dependent monomeric type
Gerakladium177218	calmodulin-dependent cyclic-nucleotide phosphodiesterase activity
Gerakladium42516	glucosyltransferase activity
Gerakladium187472	Domain of unknown function (DUF1966)
Gerakladium207129	Peptidyl-prolyl cis-trans isomerase
Gerakladium4886	Enoyl-CoA hydratase
Gerakladium117462	inorganic diphosphatase activity
Gerakladium19029	spermatogenesis associated 4
Gerakladium4555	Belongs to the MIP aquaporin (TC 1.A.8) family
Gerakladium34803	fructose-bisphosphate aldolase activity
Gerakladium150706	Cytochrome b5
Gerakladium14376	Hep Hag repeat protein
Gerakladium215140	L-malate dehydrogenase activity
Gerakladium34201	member RAS oncogene family
Gerakladium56485	tpt-domain-containing protein
Gerakladium3344	protein inhibitor of activated STAT, 4
Gerakladium38989	protein serine/threonine kinase activity
Gerakladium23071	histone serine kinase activity
Gerakladium170421	calcium-dependent cysteine-type endopeptidase activity
Gerakladium168542	palmitoyl-(protein) hydrolase activity
Gerakladium53374	Ankyrin repeat
Gerakladium56886	axoneme assembly
Gerakladium186311	Zinc finger CCCH type domain
Gerakladium87009	Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region domain-containing protein
Gerakladium32123	Belongs to the universal ribosomal protein uS13 family
Gerakladium170886	Belongs to the peptidase C19 family
Gerakladium70368	Nitrate reductase is a key enzyme involved in the first step of nitrate assimilation in plants, fungi and bacteria
Gerakladium150926	Subunit of the peripheral V1 complex of vacuolar ATPase. Subunit C is necessary for the assembly of the catalytic sector of the enzyme and is likely to have a specific function in its catalytic activity. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells
Gerakladium112108	secondary active sulfate transmembrane transporter activity
Gerakladium223786	ribosomal protein
Gerakladium191157	cGMP-dependent protein kinase activity
Gerakladium42520	Q COG3321 Polyketide synthase modules and related proteins
Gerakladium178387	Histone-lysine n-methyltransferase
Gerakladium402	Belongs to the short-chain dehydrogenases reductases (SDR) family
Gerakladium214560	Protein kinase domain
Gerakladium7573	inward rectifier potassium channel activity
Gerakladium15534	Protein of unknown function (DUF760)
Gerakladium218160	Taurine catabolism dioxygenase TauD, TfdA family
Gerakladium848	aspartic-type endopeptidase activity
Gerakladium188986	S-adenosyl-L-methionine binding
Gerakladium150969	Thioredoxin
Gerakladium119767	ER lumen protein retaining receptor
Gerakladium167207	tubulin-glutamic acid ligase activity
Gerakladium133841	Syntaxin 6, N-terminal
Gerakladium115226	Belongs to the glycosyltransferase 1 family. Bacterial plant glycogen synthase subfamily
Gerakladium29703	Protein kinase domain
Gerakladium66941	Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA
Gerakladium134790	Mycolic acid cyclopropane synthetase
Gerakladium63027	nucleic acid binding
Gerakladium114560	Extension to Ser/Thr-type protein kinases
Gerakladium187516	Diacylglycerol acyltransferase
Gerakladium167085	Ubiquitin-protein transferase activity
Gerakladium1015	ATP binding
Gerakladium10674	5-methyltetrahydrofolate--homocysteine methyltransferase
Gerakladium206323	Bestrophin, RFP-TM, chloride channel
Gerakladium186291	fatty acid elongation, saturated fatty acid
Gerakladium168531	ribosomal protein
Gerakladium208129	Peptidase family C69
Gerakladium11419	phosphoglycerate kinase activity
Gerakladium185	Ion transport protein
Gerakladium21139	Minichromosome maintenance 8 homologous recombination repair factor
Gerakladium144729	PPPDE putative peptidase domain
Gerakladium185539	Glycosyl transferase family 2
Gerakladium53662	magnesium ion homeostasis
Gerakladium186534	Glycosyl transferase 4-like
Gerakladium14292	N-Acetylglucosaminyltransferase-IV (GnT-IV) conserved region
Gerakladium206121	Belongs to the ubiquitin-activating E1 family
Gerakladium139494	O-Methyltransferase
Gerakladium134711	fucoxanthin chlorophyll a c protein
Gerakladium52601	P-type ATPase (P-ATPase) Superfamily. Source PGD
Gerakladium112421	FAD dependent oxidoreductase
Gerakladium111738	cGMP-dependent protein kinase activity
Gerakladium12602	cAMP-dependent protein kinase regulatory subunit
Gerakladium56745	CAP_GLY
Gerakladium170206	Protein tyrosine kinase
Gerakladium56345	Cytochrome b6-f complex iron-sulfur subunit
Gerakladium47	sulfuric ester hydrolase activity
Gerakladium5887	phospholipid-translocating ATPase activity
Gerakladium54172	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
Gerakladium188216	GTPase involved in pre-60S ribosomal subunit maturation
Gerakladium5466	Cytochrome P450
Gerakladium207616	Chlorophyll A-B binding protein
Gerakladium139922	Iron-binding zinc finger CDGSH type
Gerakladium208221	Responsible for synthesis of pseudouridine from uracil
Gerakladium13501	Major Facilitator Superfamily
Gerakladium9497	triglyceride catabolic process
Gerakladium112697	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Gerakladium131761	Sodium hydrogen exchanger
Gerakladium37469	Belongs to the peptidase A1 family
Gerakladium30116	Glycolipid 2-alpha-mannosyltransferase
Gerakladium55307	lysosomal thiol
Gerakladium121702	IMP dehydrogenase / GMP reductase domain
Gerakladium8312	ATP-binding Cassette (ABC) Superfamily. Source PGD
Gerakladium185989	MFS_1 like family
Gerakladium131270	O-acyltransferase 2
Gerakladium37949	Serine/Threonine protein kinases, catalytic domain
Gerakladium2257	peptide-aspartate beta-dioxygenase activity
Gerakladium133155	ABC transporter
Gerakladium105086	DNA photolyase activity
Gerakladium187149	female pronucleus assembly
Gerakladium9981	Belongs to the SecA family
Gerakladium11361	transmembrane transporter activity
Gerakladium155	Alba
Gerakladium23411	Aldo/keto reductase family
Gerakladium11640	It is involved in the biological process described with protein phosphorylation
Gerakladium207248	Dynein light chain
Gerakladium6658	PPPDE putative peptidase domain
Gerakladium39501	homoserine dehydrogenase activity
Gerakladium57309	Crooked neck-like protein 1
Gerakladium104503	RNA recognition motif 2
Gerakladium3934	Doublecortin
Gerakladium94646	ammonium transmembrane transporter activity
Gerakladium111538	PFAM Ion transport
Gerakladium169220	aspartic-type endopeptidase activity
Gerakladium34624	interleukin-8 biosynthetic process
Gerakladium154444	Domain of unknown function (DUF1707)
Gerakladium5678	Sugar (and other) transporter
Gerakladium186776	Belongs to the DHHC palmitoyltransferase family
Gerakladium149912	Calcineurin-like phosphoesterase
Gerakladium101216	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs
Gerakladium207107	Involved in biosynthesis of the thiamine precursor thiazole. Catalyzes the conversion of NAD and glycine to adenosine diphosphate 5-(2-hydroxyethyl)-4-methylthiazole-2-carboxylic acid (ADT), an adenylated thiazole intermediate. The reaction includes an iron-dependent sulfide transfer from a conserved cysteine residue of the protein to a thiazole intermediate. The enzyme can only undergo a single turnover, which suggests it is a suicide enzyme. May have additional roles in adaptation to various stress conditions and in DNA damage tolerance
Gerakladium12628	selenocysteine insertion sequence binding
Gerakladium7370	CAP_GLY
Gerakladium205582	Ring finger domain
Gerakladium150786	-
Gerakladium56877	Ethanolamine-phosphate cytidylyltransferase. Source PGD
Gerakladium208880	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Gerakladium15598	ADP-ribosylation factor GTPase-activating protein
Gerakladium117048	Cytochrome C oxidase, cbb3-type, subunit III
Gerakladium23246	Belongs to the DHHC palmitoyltransferase family
Gerakladium115192	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Gerakladium21402	NUAK family SNF1-like kinase 1
Gerakladium113300	Ribosomal protein S14p/S29e
Gerakladium64834	cellulose 1,4-beta-cellobiosidase activity
Gerakladium828	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) activity
Gerakladium24376	TKL protein kinase
Gerakladium149326	Caffeoylshikimate esterase-like
Gerakladium49941	selenium-binding protein
Gerakladium109320	microtubule motor activity
Gerakladium97291	BFD-like [2Fe-2S] binding domain
Gerakladium23530	Archease protein family (MTH1598/TM1083)
Gerakladium190573	RING-H2 finger protein
Gerakladium134302	L-glutamate transmembrane transporter activity
Gerakladium173789	glycosyl transferase, family 2
Gerakladium134378	UDP-glucoronosyl and UDP-glucosyl transferase
Gerakladium111814	biological adhesion
Gerakladium111190	calcium-dependent cysteine-type endopeptidase activity
Gerakladium115056	RNA uridylyltransferase activity
Gerakladium111374	Belongs to the DHHC palmitoyltransferase family
Gerakladium2056	Glycosyl hydrolase catalytic core
Gerakladium213783	Ubiquilin 4
Gerakladium171025	L-threonylcarbamoyladenylate synthase
Gerakladium190227	Methyltransferase domain
Gerakladium12729	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
Gerakladium1846	PPPDE putative peptidase domain
Gerakladium18350	COG0488 ATPase components of ABC transporters with duplicated ATPase domains
Gerakladium35382	ubiquitin-like protein ligase activity
Gerakladium704	serine threonine protein kinase
Gerakladium167575	Belongs to the AAA ATPase family
