Gerakladium170031	K08798
Gerakladium112786	K01135
Gerakladium55860	K14557
Gerakladium19198	K19755
Gerakladium197745	K20823
Gerakladium5754	K04371
Gerakladium133474	K19329
Gerakladium8227	K10380
Gerakladium21569	K04461
Gerakladium18287	K20028
Gerakladium6732	K19755
Gerakladium207802	K00558
Gerakladium10884	K13862
Gerakladium205399	K04855
Gerakladium113440	K24984
Gerakladium53148	K01379
Gerakladium54586	K03737
Gerakladium15662	K03439
Gerakladium15327	K08332
Gerakladium179056	K02219
Gerakladium56754	K00026
Gerakladium139454	K01279
Gerakladium70268	K12132
Gerakladium130827	K03686
Gerakladium130672	K16055
Gerakladium148717	K17710
Gerakladium12598	K02492
Gerakladium137863	K01692
Gerakladium16130	K06180
Gerakladium122763	K03097
Gerakladium2126	K13037
Gerakladium6103	K12405
Gerakladium131298	K00240
Gerakladium29691	K24810
Gerakladium205174	K01620
Gerakladium134595	K24971
Gerakladium217103	K01363
Gerakladium227	K08910
Gerakladium161654	K19760
Gerakladium207146	K07253
Gerakladium3780	K08908
Gerakladium214782	K05692
Gerakladium151645	K08139
Gerakladium7100	K15047
Gerakladium206287	K21486
Gerakladium183598	K09592
Gerakladium136656	K12736
Gerakladium175061	K16271
Gerakladium10261	K10380
Gerakladium111225	K09840
Gerakladium111191	K10747
Gerakladium39209	K09518
Gerakladium44650	K08857
Gerakladium169774	K00558
Gerakladium3958	K03686
Gerakladium56455	K13412
Gerakladium189272	K01736
Gerakladium3848	K14802
Gerakladium130964	K11417
Gerakladium185838	K10380
Gerakladium65678	K03777
Gerakladium134302	K05613
Gerakladium106627	K19953
Gerakladium170769	K10407
Gerakladium9790	K09490
Gerakladium184988	K05534
Gerakladium169911	K13197
Gerakladium27679	K01669
Gerakladium170231	K00052
Gerakladium2424	K10407
Gerakladium5965	K00789
Gerakladium884	K17535
Gerakladium168073	K18932
Gerakladium47766	K15272
Gerakladium48921	K03798
Gerakladium115133	K09517
Gerakladium29595	K18798
Gerakladium289	K13412
Gerakladium15222	K13291
Gerakladium205468	K21989
Gerakladium171722	K24205
Gerakladium206033	K19360
Gerakladium5522	K24683
Gerakladium131052	K08341
Gerakladium20855	K09788
Gerakladium18124	K14457
Gerakladium25719	K06180
Gerakladium209676	K02293
Gerakladium105325	K18740
Gerakladium212714	K12198
Gerakladium205520	K03424
Gerakladium208230	K13207
Gerakladium33224	K03009
Gerakladium210130	K00472
Gerakladium3626	K04464
Gerakladium135210	K00876
Gerakladium191907	K12398
Gerakladium2907	K03627
Gerakladium167194	K24485
Gerakladium9543	K08582
Gerakladium205575	K17725
Gerakladium206961	K00434
Gerakladium130761	K12603
Gerakladium8595	K01358
Gerakladium206339	K08585
Gerakladium150452	K20028
Gerakladium209092	K23965
Gerakladium218899	K01868
Gerakladium61017	K03762
Gerakladium131813	K10380
Gerakladium6479	K04648
Gerakladium24143	K01164
Gerakladium111214	K00845
Gerakladium26365	K20843
Gerakladium35072	K10860
Gerakladium116376	K00850
Gerakladium179614	K12823
Gerakladium134075	K22614
Gerakladium150969	K09580
Gerakladium6595	K12608
Gerakladium189880	K21878
Gerakladium38989	K04515
Gerakladium6730	K00898
Gerakladium193485	K17508
Gerakladium116387	K00799
Gerakladium151181	K02335
Gerakladium154356	K09529
Gerakladium67599	K01652
Gerakladium71558	K04978
Gerakladium152602	K13095
Gerakladium155412	K18042
Gerakladium20809	K06941
Gerakladium87565	K22684
Gerakladium6755	K24469
Gerakladium118991	K13984
Gerakladium4886	K15016
Gerakladium207114	K04834
Gerakladium2460	K11416
Gerakladium19984	K02357
Gerakladium185188	K01210
Gerakladium118238	K19760
Gerakladium112754	K13617
Gerakladium133034	K06258
Gerakladium14393	K17619
Gerakladium153506	K15104
Gerakladium176656	K05236
Gerakladium167727	K05812
Gerakladium136022	K08281
Gerakladium50249	K20151
Gerakladium262	K08994
Gerakladium150137	K03294
Gerakladium149130	K13448
Gerakladium8336	K04604
Gerakladium577	K03234
Gerakladium209739	K00574
Gerakladium151473	K03593
Gerakladium208386	K01006
Gerakladium175613	K11811
Gerakladium11816	K12960
Gerakladium187472	K01208
Gerakladium167575	K17681
Gerakladium191649	K03145
Gerakladium112034	K13750
Gerakladium5713	K13293
Gerakladium60713	K22686
Gerakladium15623	K01648
Gerakladium170588	K01834
Gerakladium12728	K20279
Gerakladium12193	K15377
Gerakladium183353	K18468
Gerakladium149054	K08582
Gerakladium205683	K11366
Gerakladium9008	K04955
Gerakladium13297	K01673
Gerakladium158654	K23490
Gerakladium100864	K04739
Gerakladium15254	K10380
Gerakladium131763	K15276
Gerakladium205690	K00545
Gerakladium167478	K12614
Gerakladium170603	K11293
Gerakladium186294	K15047
Gerakladium10447	K22382
Gerakladium45343	K01673
Gerakladium60916	K15015
Gerakladium139283	K10707
Gerakladium4543	K01835
Gerakladium275	K02975
Gerakladium40851	K00854
Gerakladium186832	K11126
Gerakladium78392	K09838
Gerakladium120294	K15271
Gerakladium56973	K24223
Gerakladium169012	K14844
Gerakladium33582	K00018
Gerakladium114513	K01802
Gerakladium170940	K08059
Gerakladium155728	K20069
Gerakladium115929	K09864
Gerakladium190046	K12198
Gerakladium115215	K22762
Gerakladium25703	K02114
Gerakladium69666	K18561
Gerakladium29882	K16302
Gerakladium52467	K04908
Gerakladium132854	K24927
Gerakladium208903	K09592
Gerakladium185245	K01517
Gerakladium152420	K02183
Gerakladium7370	K04460
Gerakladium210471	K04952
Gerakladium1218	K02922
Gerakladium116139	K14826
Gerakladium150922	K11703
Gerakladium19336	K14156
Gerakladium13514	K01392
Gerakladium216207	K13291
Gerakladium87262	K01007
Gerakladium16504	K10752
Gerakladium12786	K04460
Gerakladium185972	K06180
Gerakladium22290	K10848
Gerakladium186076	K10736
Gerakladium42038	K16740
Gerakladium9899	K01952
Gerakladium172289	K09512
Gerakladium151322	K22133
Gerakladium19080	K12385
Gerakladium9582	K20028
Gerakladium188842	K01495
Gerakladium33354	K12132
Gerakladium71192	K00314
Gerakladium34844	K00545
Gerakladium136449	K11096
Gerakladium111344	K03320
Gerakladium778	K06630
Gerakladium192267	K05794
Gerakladium149173	K00315
Gerakladium36126	K02885
Gerakladium207203	K13577
Gerakladium207001	K04043
Gerakladium131269	K14379
Gerakladium29187	K20292
Gerakladium114705	K15378
Gerakladium174551	K01626
Gerakladium134827	K00465
Gerakladium74415	K05841
Gerakladium112963	K03327
Gerakladium3542	K09884
Gerakladium10530	K01177
Gerakladium174422	K09640
Gerakladium38610	K13979
Gerakladium215362	K08900
Gerakladium64349	K01517
Gerakladium113473	K17506
Gerakladium143268	K04515
Gerakladium61708	K02865
Gerakladium208708	K07399
Gerakladium25947	K04628
Gerakladium187671	K01915
Gerakladium25493	K02872
Gerakladium158161	K10807
Gerakladium150073	K16726
Gerakladium2861	K09935
Gerakladium57881	K19525
Gerakladium214502	K17725
Gerakladium168562	K24041
Gerakladium129269	K12567
Gerakladium185355	K05941
Gerakladium45218	K00574
Gerakladium4521	K12614
Gerakladium4355	K11170
Gerakladium132336	K01491
Gerakladium186709	K21396
Gerakladium170645	K08679
Gerakladium217560	K06180
Gerakladium51761	K16462
Gerakladium12455	K06699
Gerakladium212530	K08151
Gerakladium172709	K02437
Gerakladium185944	K17689
Gerakladium171650	K03321
Gerakladium17034	K00665
Gerakladium24102	K11262
Gerakladium21431	K08869
Gerakladium136743	K01720
Gerakladium14455	K00645
Gerakladium1487	K02921
Gerakladium193355	K01071
Gerakladium113080	K02100
Gerakladium173340	K24942
Gerakladium185568	K10732
Gerakladium207332	K25166
Gerakladium149574	K09571
Gerakladium115000	K10667
Gerakladium76734	K03798
Gerakladium167173	K10442
Gerakladium49796	K03782
Gerakladium50904	K00703
Gerakladium913	K17508
Gerakladium132681	K10393
Gerakladium29071	K03686
Gerakladium169232	K13298
Gerakladium207517	K00558
Gerakladium155464	K03470
Gerakladium188080	K03686
Gerakladium185114	K02705
Gerakladium186582	K08803
Gerakladium23164	K17710
Gerakladium1015	K05692
Gerakladium115945	K13093
Gerakladium42797	K23490
Gerakladium205500	K01784
Gerakladium206599	K01379
Gerakladium207269	K08582
Gerakladium32791	K00789
Gerakladium37839	K03686
Gerakladium48718	K13750
Gerakladium109429	K09571
Gerakladium138732	K01507
Gerakladium31456	K10260
Gerakladium171423	K01738
Gerakladium132793	K04986
Gerakladium2116	K04512
Gerakladium167296	K15272
Gerakladium188078	K00167
Gerakladium216825	K06911
Gerakladium65173	K00600
Gerakladium57606	K04789
Gerakladium113102	K21989
Gerakladium8544	K12319
Gerakladium6872	K21552
Gerakladium172891	K21867
Gerakladium58849	K23029
Gerakladium115816	K17550
Gerakladium213298	K02150
Gerakladium10974	K15259
Gerakladium114328	K19951
Gerakladium28453	K09580
Gerakladium181036	K01408
Gerakladium1223	K06901
Gerakladium17529	K21806
Gerakladium17602	K05864
Gerakladium131820	K01363
Gerakladium167772	K03070
Gerakladium29802	K03321
Gerakladium111756	K24683
Gerakladium167029	K13412
Gerakladium57413	K14411
Gerakladium151165	K08857
Gerakladium169759	K02183
Gerakladium491	K00559
Gerakladium189124	K25166
Gerakladium11866	K08794
Gerakladium9808	K01412
Gerakladium8105	K04461
Gerakladium208023	K06994
Gerakladium188834	K11253
Gerakladium48775	K24485
Gerakladium135686	K17964
Gerakladium57301	K03321
Gerakladium210147	K11426
Gerakladium131497	K00645
Gerakladium212568	K04461
Gerakladium113326	K10949
Gerakladium187551	K16197
Gerakladium188593	K01069
Gerakladium184984	K15016
Gerakladium8210	K12132
Gerakladium185357	K08163
Gerakladium153125	K02216
Gerakladium67457	K05841
Gerakladium107742	K07151
Gerakladium49725	K02976
Gerakladium9117	K10859
Gerakladium2414	K01834
Gerakladium51062	K11968
Gerakladium8212	K04905
Gerakladium133533	K12132
Gerakladium134830	K00357
Gerakladium24753	K12132
Gerakladium8444	K16462
Gerakladium24673	K15259
Gerakladium35932	K20718
Gerakladium204999	K04421
Gerakladium5973	K02355
Gerakladium42898	K00235
Gerakladium87717	K14411
Gerakladium26269	K00645
Gerakladium185655	K09486
Gerakladium155146	K07198
Gerakladium192020	K06175
Gerakladium8274	K12319
Gerakladium115206	K04936
Gerakladium98438	K01473
Gerakladium10674	K00548
Gerakladium54279	K15666
Gerakladium22527	K07883
Gerakladium42520	K12442
Gerakladium89563	K10380
Gerakladium58902	K21440
Gerakladium59213	K01208
Gerakladium197968	K16457
Gerakladium171025	K07566
Gerakladium93858	K05791
Gerakladium187268	K10448
Gerakladium210521	K01315
Gerakladium167682	K14005
Gerakladium34058	K08738
Gerakladium156281	K16462
Gerakladium131435	K14007
Gerakladium3322	K08857
Gerakladium170180	K01755
Gerakladium62801	K02635
Gerakladium37426	K17943
Gerakladium3684	K21440
Gerakladium68526	K08596
Gerakladium27535	K00592
Gerakladium130819	K13755
Gerakladium88536	K08654
Gerakladium144729	K22762
Gerakladium186568	K00612
Gerakladium50787	K08844
Gerakladium46152	K03235
Gerakladium167440	K14312
Gerakladium9086	K12132
Gerakladium41071	K10380
Gerakladium111479	K13830
Gerakladium116092	K10523
Gerakladium206572	K13984
Gerakladium168120	K23539
Gerakladium132930	K08826
Gerakladium205130	K15259
Gerakladium42632	K02998
Gerakladium79156	K00472
Gerakladium43444	K00428
Gerakladium189736	K05794
Gerakladium190697	K10635
Gerakladium181535	K01955
Gerakladium169553	K10418
Gerakladium98180	K11717
Gerakladium5361	K17951
Gerakladium12685	K01652
Gerakladium102087	K08869
Gerakladium630	K00088
Gerakladium48988	K16219
Gerakladium757	K03686
Gerakladium206023	K24427
Gerakladium11471	K15710
Gerakladium25413	K00873
Gerakladium40017	K02147
Gerakladium172361	K06180
Gerakladium134355	K13412
Gerakladium152260	K13646
Gerakladium9180	K14453
Gerakladium214175	K00699
Gerakladium130953	K09568
Gerakladium169990	K12041
Gerakladium189126	K00789
Gerakladium7160	K10408
Gerakladium134831	K01076
Gerakladium71859	K02991
Gerakladium1239	K12405
Gerakladium151039	K04840
Gerakladium44308	K01179
Gerakladium46464	K22745
Gerakladium207817	K10799
Gerakladium152756	K01369
Gerakladium6168	K24936
Gerakladium744	K00002
Gerakladium5287	K12603
Gerakladium14005	K22763
Gerakladium238	K02873
Gerakladium104	K02925
Gerakladium64369	K22390
Gerakladium16868	K11160
Gerakladium11028	K03178
Gerakladium170544	K14004
Gerakladium41181	K17943
Gerakladium47313	K01845
Gerakladium208341	K02111
Gerakladium209445	K10250
Gerakladium3978	K22684
Gerakladium17636	K05986
Gerakladium35382	K11982
Gerakladium68557	K15711
Gerakladium14873	K20890
Gerakladium206623	K00557
Gerakladium3010	K00615
Gerakladium19972	K06173
Gerakladium206553	K22614
Gerakladium1458	K04855
Gerakladium52059	K00789
Gerakladium170656	K12857
Gerakladium16664	K09512
Gerakladium14826	K18442
Gerakladium206483	K08582
Gerakladium111100	K01190
Gerakladium70602	K06867
Gerakladium205337	K03417
Gerakladium135762	K13647
Gerakladium89935	K06180
Gerakladium117825	K15102
Gerakladium91550	K00806
Gerakladium9733	K03977
Gerakladium4663	K15111
Gerakladium152035	K17341
Gerakladium84937	K02150
Gerakladium167380	K06672
Gerakladium194929	K21433
Gerakladium186213	K13202
Gerakladium154139	K04079
Gerakladium213104	K25137
Gerakladium13643	K18464
Gerakladium18258	K01768
Gerakladium97291	K00362
Gerakladium172063	K10577
Gerakladium17827	K19525
Gerakladium31872	K00476
Gerakladium7275	K01076
Gerakladium193455	K05849
Gerakladium214080	K11418
Gerakladium52311	K22857
Gerakladium167263	K06130
Gerakladium3746	K21396
Gerakladium38210	K02947
Gerakladium37734	K03929
Gerakladium169077	K06002
Gerakladium190450	K07376
Gerakladium111347	K17943
Gerakladium211076	K13412
Gerakladium12196	K04849
Gerakladium5838	K12176
Gerakladium185349	K01599
Gerakladium121651	K03773
Gerakladium6165	K08287
Gerakladium95077	K08770
Gerakladium185893	K22372
Gerakladium50338	K12373
Gerakladium5952	K12870
Gerakladium186249	K03686
Gerakladium2832	K23490
Gerakladium207129	K09571
Gerakladium134343	K19041
Gerakladium24702	K05016
Gerakladium24567	K02975
Gerakladium150257	K11703
Gerakladium148611	K24068
Gerakladium11942	K23330
Gerakladium196724	K10420
Gerakladium136671	K13963
Gerakladium149890	K19375
Gerakladium21510	K12132
Gerakladium111674	K12445
Gerakladium65421	K02471
Gerakladium148787	K01923
Gerakladium133377	K00077
Gerakladium114289	K05275
Gerakladium10532	K13761
Gerakladium7126	K10477
Gerakladium157789	K03676
Gerakladium199518	K12199
Gerakladium1396	K02949
Gerakladium1451	K13861
Gerakladium9764	K02864
Gerakladium133932	K16606
Gerakladium149009	K02183
Gerakladium118060	K04797
Gerakladium149831	K09517
Gerakladium116821	K12132
Gerakladium22377	K06180
Gerakladium33720	K01624
Gerakladium149824	K08798
Gerakladium193319	K06180
Gerakladium37180	K10380
Gerakladium48616	K09919
Gerakladium133212	K01304
Gerakladium62858	K14554
Gerakladium173216	K04981
Gerakladium42119	K10808
Gerakladium19661	K01768
Gerakladium20811	K19709
Gerakladium186583	K04892
Gerakladium77063	K08963
Gerakladium4792	K22762
Gerakladium21607	K02947
Gerakladium31357	K00823
Gerakladium105546	K03686
Gerakladium136530	K24835
Gerakladium197360	K06213
Gerakladium132971	K12132
Gerakladium115210	K19269
Gerakladium77936	K19760
Gerakladium206054	K01769
Gerakladium115332	K04739
Gerakladium202505	K03320
Gerakladium115906	K15503
Gerakladium136978	K16889
Gerakladium3452	K08281
Gerakladium9689	K15666
Gerakladium149060	K10380
Gerakladium190485	K01648
Gerakladium132464	K17914
Gerakladium205537	K00057
Gerakladium169964	K00652
Gerakladium204971	K07240
Gerakladium73925	K24353
Gerakladium114996	K08957
Gerakladium149318	K12304
Gerakladium171113	K14458
Gerakladium2836	K09874
Gerakladium152118	K20726
Gerakladium21660	K04910
Gerakladium14167	K01187
Gerakladium25848	K24229
Gerakladium42028	K05692
Gerakladium132496	K00606
Gerakladium77018	K01648
Gerakladium3753	K23337
Gerakladium18394	K03320
Gerakladium153	K14379
Gerakladium44106	K17943
Gerakladium149329	K00849
Gerakladium207780	K23048
Gerakladium46617	K14753
Gerakladium1414	K08137
Gerakladium50812	K06252
Gerakladium168058	K16458
Gerakladium146278	K09571
Gerakladium206349	K03327
Gerakladium132737	K22857
Gerakladium207923	K07304
Gerakladium77769	K19269
Gerakladium57309	K12869
Gerakladium5914	K04986
Gerakladium174141	K08565
Gerakladium211506	K03676
Gerakladium169696	K01752
Gerakladium19935	K06179
Gerakladium133070	K23330
Gerakladium194093	K14165
Gerakladium52231	K13412
Gerakladium59214	K09571
Gerakladium187427	K06691
Gerakladium5120	K14079
Gerakladium98739	K03696
Gerakladium186736	K13210
Gerakladium191998	K20777
Gerakladium728	K02898
Gerakladium5342	K14803
Gerakladium3255	K03259
Gerakladium207180	K15030
Gerakladium170416	K16055
Gerakladium206891	K15016
Gerakladium206651	K20367
Gerakladium205307	K04739
Gerakladium51189	K20495
Gerakladium171846	K15100
Gerakladium17312	K01892
Gerakladium14289	K03841
Gerakladium80578	K10807
Gerakladium151514	K05016
Gerakladium175831	K03144
Gerakladium205912	K05389
Gerakladium210556	K10770
Gerakladium148738	K20791
Gerakladium6131	K03660
Gerakladium168228	K14803
Gerakladium168300	K01142
Gerakladium13760	K08917
Gerakladium150357	K01006
Gerakladium136797	K02471
Gerakladium168920	K02703
Gerakladium148994	K22762
Gerakladium14303	K01338
Gerakladium5355	K08857
Gerakladium185444	K05865
Gerakladium24748	K13412
Gerakladium58343	K18055
Gerakladium70922	K02183
Gerakladium8521	K21993
Gerakladium187939	K03686
Gerakladium111401	K00772
Gerakladium208818	K15111
Gerakladium152443	K06994
Gerakladium209672	K17938
Gerakladium211186	K14379
Gerakladium189788	K04908
Gerakladium42307	K10380
Gerakladium74572	K01081
Gerakladium43470	K11438
Gerakladium142135	K01412
Gerakladium41821	K00789
Gerakladium38021	K00898
Gerakladium171250	K06180
Gerakladium205256	K16290
Gerakladium133903	K10597
Gerakladium168390	K15655
Gerakladium151384	K08857
Gerakladium191420	K08369
Gerakladium118795	K01625
Gerakladium106443	K19760
Gerakladium20804	K00665
Gerakladium149587	K18740
Gerakladium169396	K01462
Gerakladium1043	K08292
Gerakladium131590	K10380
Gerakladium221770	K15028
Gerakladium170377	K10380
Gerakladium13801	K23518
Gerakladium2002	K23330
Gerakladium7095	K14206
Gerakladium206490	K08582
Gerakladium57069	K20032
Gerakladium35037	K11323
Gerakladium32123	K02964
Gerakladium148897	K03526
Gerakladium78	K11481
Gerakladium76462	K10478
Gerakladium65227	K12882
Gerakladium189349	K01279
Gerakladium136968	K15445
Gerakladium85369	K02925
Gerakladium114206	K03595
Gerakladium133128	K17087
Gerakladium87824	K23289
Gerakladium168487	K17943
Gerakladium68351	K04802
Gerakladium12153	K15687
Gerakladium25655	K20103
Gerakladium216262	K11262
Gerakladium131281	K07115
Gerakladium133177	K10770
Gerakladium5576	K05658
Gerakladium58974	K22939
Gerakladium151	K00249
Gerakladium107449	K03094
Gerakladium132593	K11253
Gerakladium50613	K02729
Gerakladium132784	K10380
Gerakladium70672	K23330
Gerakladium36907	K02357
Gerakladium133931	K10411
Gerakladium170421	K08582
Gerakladium51417	K01178
Gerakladium219595	K25192
Gerakladium189491	K05849
Gerakladium2486	K04077
Gerakladium112342	K02895
Gerakladium112108	K18059
Gerakladium111907	K01768
Gerakladium191377	K07750
Gerakladium151403	K00464
Gerakladium13089	K10325
Gerakladium7205	K18561
Gerakladium149772	K13210
Gerakladium47059	K14835
Gerakladium7351	K08716
Gerakladium205086	K00965
Gerakladium185331	K12581
Gerakladium32033	K00703
Gerakladium24738	K01768
Gerakladium18947	K05849
Gerakladium52293	K02110
Gerakladium138781	K00615
Gerakladium151695	K02950
Gerakladium205102	K18052
Gerakladium21016	K02870
Gerakladium151095	K13412
Gerakladium169949	K19269
Gerakladium142284	K00703
Gerakladium59219	K16911
Gerakladium48434	K13525
Gerakladium112864	K10380
Gerakladium166213	K23490
Gerakladium29399	K20299
Gerakladium105608	K00901
Gerakladium188395	K04371
Gerakladium133765	K13118
Gerakladium2820	K07404
Gerakladium207999	K12442
Gerakladium210085	K00476
Gerakladium201293	K03235
Gerakladium54455	K13210
Gerakladium131005	K00666
Gerakladium185159	K24764
Gerakladium207713	K04373
Gerakladium115546	K20305
Gerakladium104904	K13412
Gerakladium149293	K04908
Gerakladium130840	K15378
Gerakladium133155	K02471
Gerakladium205110	K10418
Gerakladium188695	K08857
Gerakladium14321	K01456
Gerakladium15667	K10867
Gerakladium205722	K12443
Gerakladium114952	K02888
Gerakladium65642	K10392
Gerakladium205401	K13091
Gerakladium69104	K11517
Gerakladium169666	K22684
Gerakladium22543	K10949
Gerakladium3085	K03142
Gerakladium42834	K03686
Gerakladium35174	K04515
